question_id,exam_name,question_number,subject,source,subquestion_count,point_count,detected_points,model_points_length,status,notes,missing_specific_points,display_answer_coverage
484,February 1997,4,Agency & Partnership,MEE Question Bank (my import),3,5,"1,2,1,1,3",3725,OK,,,YES_EXACT_POINTS
485,July 1997,1,Agency & Partnership,MEE Question Bank (my import),1,4,"1,2,3,4",5825,OK,,,YES_EXACT_POINTS
486,February 1998,1,Agency & Partnership,MEE Question Bank (my import),3,3,"1,2,3",4703,OK,,,YES_EXACT_POINTS
487,July 1998,2,Agency & Partnership,MEE Question Bank (my import),2,2,"1,2",2996,OK,,,YES_EXACT_POINTS
488,February 1999,2,Agency & Partnership,MEE Question Bank (my import),4,5,"1,3,2,3,4",6059,OK,,,YES_EXACT_POINTS
489,July 1999,2,Agency & Partnership,MEE Question Bank (my import),3,3,"1,2,3",3889,OK,,,YES_EXACT_POINTS
490,February 2000,2,Agency & Partnership,MEE Question Bank (my import),3,2,"1,2",3184,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,3,YES_FULL_FALLBACK
491,February 2001,2,Agency & Partnership,MEE Question Bank (my import),4,4,"1,2,3,4",5323,OK,,,YES_EXACT_POINTS
492,July 2001,1,Agency & Partnership,MEE Question Bank (my import),3,3,"1,2,3",4347,OK,,,YES_EXACT_POINTS
493,February 2002,3,Agency & Partnership,MEE Question Bank (my import),3,3,"1,2,3",4740,OK,,,YES_EXACT_POINTS
494,July 2002,6,Agency & Partnership,MEE Question Bank (my import),3,4,"1,1,2,3",4658,OK,,,YES_EXACT_POINTS
495,February 2003,4,Agency & Partnership,MEE Question Bank (my import),1,3,"1,1,2",5923,OK,,,YES_EXACT_POINTS
496,July 2003,5,Agency & Partnership,MEE Question Bank (my import),2,2,"1,2",3881,OK,,,YES_EXACT_POINTS
497,February 2004,6,Agency & Partnership,MEE Question Bank (my import),3,4,"1,2,1,3",3522,OK,,,YES_EXACT_POINTS
498,July 2004,5,Agency & Partnership,MEE Question Bank (my import),3,3,"1,2,3",4158,OK,,,YES_EXACT_POINTS
499,February 2005,7,Agency & Partnership,MEE Question Bank (my import),2,4,"1,2,3,4",4421,OK,,,YES_EXACT_POINTS
500,February 2006,2,Agency & Partnership,MEE Question Bank (my import),2,6,"1,1,1,2,1,1",3822,OK,,,YES_EXACT_POINTS
501,July 2006,2,Agency & Partnership,MEE Question Bank (my import),3,5,"1,1,2,3,2",4866,OK,,,YES_EXACT_POINTS
502,February 2007,6,Agency & Partnership,MEE Question Bank (my import),3,3,"1,2,3",6761,OK,,,YES_EXACT_POINTS
503,July 2007,4,Agency & Partnership,MEE Question Bank (my import),3,4,"1,2,2,3",6421,OK,,,YES_EXACT_POINTS
504,July 2008,3,Agency & Partnership,MEE Question Bank (my import),4,5,"1,2,3,4,3",5205,OK,,,YES_EXACT_POINTS
505,February 2009,1,Agency & Partnership,MEE Question Bank (my import),4,3,"1,2,3",3604,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,4,YES_FULL_FALLBACK
506,July 2009,8,Agency & Partnership,MEE Question Bank (my import),3,9,"1,2,3,2,1,2,2,1,2",4157,OK,,,YES_EXACT_POINTS
507,July 2010,1,Agency & Partnership,MEE Question Bank (my import),4,9,"1,2,1,1,3,2,2,2,4",5165,OK,,,YES_EXACT_POINTS
508,July 2011,9,Agency & Partnership,MEE Question Bank (my import),3,6,"1,1,1,2,2,3",7074,OK,,,YES_EXACT_POINTS
509,February 2012,6,Agency & Partnership,MEE Question Bank (my import),3,3,"1,2,3",4444,OK,,,YES_EXACT_POINTS
510,February 2013,6,Agency & Partnership,MEE Question Bank (my import),6,5,"1,2,1,1,3",4766,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,"4,5,6",YES_FULL_FALLBACK
511,July 2013,2,Agency & Partnership,MEE Question Bank (my import),3,3,"1,2,3",4543,OK,,,YES_EXACT_POINTS
512,February 2014,6,Agency & Partnership,MEE Question Bank (my import),2,3,"1,2,3",5246,OK,,,YES_EXACT_POINTS
513,February 2015,1,Agency & Partnership,MEE Question Bank (my import),1,1,1,2143,OK,,,YES_EXACT_POINTS
514,February 2016,3,Agency & Partnership,MEE Question Bank (my import),2,1,3,1677,PARTIAL_MODEL,Only later point detected; likely split/import issue. App will show full available model analysis for missing calls.,"1,2",YES_FULL_FALLBACK
515,February 2017,5,Agency & Partnership,MEE Question Bank (my import),3,1,1,2040,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,"2,3",YES_FULL_FALLBACK
516,February 2018,6,Agency & Partnership,MEE Question Bank (my import),3,1,1,2039,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,"2,3",YES_FULL_FALLBACK
517,February 2019,3,Agency & Partnership,MEE Question Bank (my import),4,0,,0,STRUCTURED_FALLBACK,"No usable model_points, but issue/rule/fact fields can render structured model analysis.","1,2,3,4",YES_STRUCTURED_FALLBACK
518,February 2020,5,Agency & Partnership,MEE Question Bank (my import),1,1,1,1713,OK,,,YES_EXACT_POINTS
519,February 2021,1,Agency & Partnership,MEE Question Bank (my import),1,1,1,1606,OK,,,YES_EXACT_POINTS
520,February 2022,4,Agency & Partnership,MEE Question Bank (my import),1,2,"1,1",1632,OK,,,YES_EXACT_POINTS
521,February 2024,1,Agency & Partnership,MEE Question Bank (my import),1,0,,0,STRUCTURED_FALLBACK,"No usable model_points, but issue/rule/fact fields can render structured model analysis.",1,YES_STRUCTURED_FALLBACK
522,February 2025,1,Agency & Partnership,MEE Question Bank (my import),3,2,"2,3",2261,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,1,YES_FULL_FALLBACK
523,July 1997,6,Corporations & LLCs,MEE Question Bank (my import),2,3,"1,2,3",3933,OK,,,YES_EXACT_POINTS
524,February 1998,6,Corporations & LLCs,MEE Question Bank (my import),2,4,"1,2,2,2",5542,OK,,,YES_EXACT_POINTS
525,July 1998,6,Corporations & LLCs,MEE Question Bank (my import),2,3,"1,1,2",3495,OK,,,YES_EXACT_POINTS
526,February 1999,6,Corporations & LLCs,MEE Question Bank (my import),3,3,"1,2,3",4005,OK,,,YES_EXACT_POINTS
527,July 1999,7,Corporations & LLCs,MEE Question Bank (my import),3,3,"1,2,3",4233,OK,,,YES_EXACT_POINTS
528,February 2000,7,Corporations & LLCs,MEE Question Bank (my import),23,9,"1,1,1,2,3,4,1,2,3",9591,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,"5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23",YES_FULL_FALLBACK
529,July 2000,4,Corporations & LLCs,MEE Question Bank (my import),3,3,"1,2,3",5028,OK,,,YES_EXACT_POINTS
530,February 2001,7,Corporations & LLCs,MEE Question Bank (my import),21,5,"1,2,3,1,2",5712,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,"4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21",YES_FULL_FALLBACK
531,February 2002,7,Corporations & LLCs,MEE Question Bank (my import),13,10,"1,2,2,3,1,2,1,1,1,2",9090,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,"4,5,6,7,8,9,10,11,12,13",YES_FULL_FALLBACK
532,February 2003,7,Corporations & LLCs,MEE Question Bank (my import),1,2,"1,2",3777,OK,,,YES_EXACT_POINTS
533,July 2003,1,Corporations & LLCs,MEE Question Bank (my import),2,4,"1,1,1,2",4857,OK,,,YES_EXACT_POINTS
534,July 2004,2,Corporations & LLCs,MEE Question Bank (my import),1,3,"1,2,3",3704,OK,,,YES_EXACT_POINTS
535,February 2005,1,Corporations & LLCs,MEE Question Bank (my import),3,5,"1,2,1,1,3",3651,OK,,,YES_EXACT_POINTS
536,July 2005,2,Corporations & LLCs,MEE Question Bank (my import),2,3,"1,2,2",2990,OK,,,YES_EXACT_POINTS
537,February 2006,5,Corporations & LLCs,MEE Question Bank (my import),2,5,"1,2,2,3,4",4915,OK,,,YES_EXACT_POINTS
538,July 2006,5,Corporations & LLCs,MEE Question Bank (my import),3,3,"1,2,3",2693,OK,,,YES_EXACT_POINTS
539,July 2007,9,Corporations & LLCs,MEE Question Bank (my import),3,6,"1,1,2,2,2,3",4652,OK,,,YES_EXACT_POINTS
540,February 2008,5,Corporations & LLCs,MEE Question Bank (my import),3,3,"1,2,3",3708,OK,,,YES_EXACT_POINTS
541,February 2009,9,Corporations & LLCs,MEE Question Bank (my import),5,5,"1,2,3,4,5",6542,OK,,,YES_EXACT_POINTS
542,February 2010,5,Corporations & LLCs,MEE Question Bank (my import),3,3,"1,2,3",6210,OK,,,YES_EXACT_POINTS
543,July 2010,9,Corporations & LLCs,MEE Question Bank (my import),1,5,"1,2,3,4,5",5199,OK,,,YES_EXACT_POINTS
544,February 2011,7,Corporations & LLCs,MEE Question Bank (my import),3,3,"1,2,3",5451,OK,,,YES_EXACT_POINTS
545,February 2012,9,Corporations & LLCs,MEE Question Bank (my import),1,8,"1,1,1,1,2,3,3,2",5468,OK,,,YES_EXACT_POINTS
546,July 2012,8,Corporations & LLCs,MEE Question Bank (my import),4,4,"1,2,3,4",5033,OK,,,YES_EXACT_POINTS
547,July 2013,6,Corporations & LLCs,MEE Question Bank (my import),2,3,"1,2,2",5051,OK,,,YES_EXACT_POINTS
548,July 2014,6,Corporations & LLCs,MEE Question Bank (my import),3,3,"1,2,3",6230,OK,,,YES_EXACT_POINTS
549,July 2015,4,Corporations & LLCs,MEE Question Bank (my import),1,4,"1,2,3,4",7622,OK,,,YES_EXACT_POINTS
550,July 2016,1,Corporations & LLCs,MEE Question Bank (my import),3,2,"1,2",1999,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,3,YES_FULL_FALLBACK
551,February 2017,4,Corporations & LLCs,MEE Question Bank (my import),1,2,"1,1",1762,OK,,,YES_EXACT_POINTS
552,July 2018,6,Corporations & LLCs,MEE Question Bank (my import),3,1,2,1925,PARTIAL_MODEL,Only later point detected; likely split/import issue. App will show full available model analysis for missing calls.,"1,3",YES_FULL_FALLBACK
553,July 2019,3,Corporations & LLCs,MEE Question Bank (my import),3,1,1,2150,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,"2,3",YES_FULL_FALLBACK
554,July 2020,2,Corporations & LLCs,MEE Question Bank (my import),3,1,3,907,PARTIAL_MODEL,Only later point detected; likely split/import issue. App will show full available model analysis for missing calls.,"1,2",YES_FULL_FALLBACK
555,July 2021,2,Corporations & LLCs,MEE Question Bank (my import),3,1,1,2172,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,"2,3",YES_FULL_FALLBACK
556,February 2022,3,Corporations & LLCs,MEE Question Bank (my import),1,2,"1,1",2408,OK,,,YES_EXACT_POINTS
557,July 2022,3,Corporations & LLCs,MEE Question Bank (my import),3,1,1,1944,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,"2,3",YES_FULL_FALLBACK
558,July 2023,2,Corporations & LLCs,MEE Question Bank (my import),3,2,"1,1",1759,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,"2,3",YES_FULL_FALLBACK
559,July 2024,2,Corporations & LLCs,MEE Question Bank (my import),1,2,"2,3",1912,OK,,1,YES_EXACT_POINTS
560,February 1997,5,Civil Procedure,MEE Question Bank (my import),2,3,"1,2,3",4911,OK,,,YES_EXACT_POINTS
561,July 1997,5,Civil Procedure,MEE Question Bank (my import),2,2,"1,2",3231,OK,,,YES_EXACT_POINTS
562,February 1998,4,Civil Procedure,MEE Question Bank (my import),1,3,"1,2,3",3243,OK,,,YES_EXACT_POINTS
563,July 1998,3,Civil Procedure,MEE Question Bank (my import),2,2,"1,2",3506,OK,,,YES_EXACT_POINTS
564,February 1999,4,Civil Procedure,MEE Question Bank (my import),3,3,"1,2,3",6380,OK,,,YES_EXACT_POINTS
565,July 1999,3,Civil Procedure,MEE Question Bank (my import),2,2,"1,2",3586,OK,,,YES_EXACT_POINTS
566,February 2000,3,Civil Procedure,MEE Question Bank (my import),1,3,"1,2,3",3829,OK,,,YES_EXACT_POINTS
567,July 2000,3,Civil Procedure,MEE Question Bank (my import),3,3,"1,2,3",2772,OK,,,YES_EXACT_POINTS
568,February 2001,5,Civil Procedure,MEE Question Bank (my import),2,3,"1,2,2",3626,OK,,,YES_EXACT_POINTS
569,July 2001,7,Civil Procedure,MEE Question Bank (my import),2,3,"1,2,2",4032,OK,,,YES_EXACT_POINTS
570,February 2002,1,Civil Procedure,MEE Question Bank (my import),3,3,"1,2,3",3935,OK,,,YES_EXACT_POINTS
571,July 2002,3,Civil Procedure,MEE Question Bank (my import),2,4,"1,1,1,2",5290,OK,,,YES_EXACT_POINTS
572,February 2003,5,Civil Procedure,MEE Question Bank (my import),1,3,"1,2,2",5038,OK,,,YES_EXACT_POINTS
573,July 2003,4,Civil Procedure,MEE Question Bank (my import),2,2,"1,2",3087,OK,,,YES_EXACT_POINTS
574,February 2004,4,Civil Procedure,MEE Question Bank (my import),3,3,"1,2,3",4071,OK,,,YES_EXACT_POINTS
575,July 2004,6,Civil Procedure,MEE Question Bank (my import),2,4,"1,1,1,2",3721,OK,,,YES_EXACT_POINTS
576,February 2005,3,Civil Procedure,MEE Question Bank (my import),2,3,"1,1,2",3958,OK,,,YES_EXACT_POINTS
577,July 2005,6,Civil Procedure,MEE Question Bank (my import),1,3,"1,2,3",4022,OK,,,YES_EXACT_POINTS
578,February 2006,3,Civil Procedure,MEE Question Bank (my import),2,3,"1,1,2",4435,OK,,,YES_EXACT_POINTS
579,July 2006,6,Civil Procedure,MEE Question Bank (my import),3,3,"1,2,3",3122,OK,,,YES_EXACT_POINTS
580,February 2007,3,Civil Procedure,MEE Question Bank (my import),1,2,"1,2",3277,OK,,,YES_EXACT_POINTS
581,July 2007,2,Civil Procedure,MEE Question Bank (my import),2,4,"1,1,2,2",4477,OK,,,YES_EXACT_POINTS
582,February 2008,6,Civil Procedure,MEE Question Bank (my import),4,4,"1,2,3,4",6061,OK,,,YES_EXACT_POINTS
583,July 2008,5,Civil Procedure,MEE Question Bank (my import),3,2,"2,3",3598,POSSIBLY_INCOMPLETE,Fewer model answer points than subquestions. App will show full available model analysis for missing calls.,1,YES_FULL_FALLBACK
584,February 2009,5,Civil Procedure,MEE Question Bank (my import),2,4,"1,1,2,2",5333,OK,,,YES_EXACT_POINTS
585,July 2009,6,Civil Procedure,MEE Question Bank (my import),3,3,"1,2,3",4233,OK,,,YES_EXACT_POINTS
586,February 2010,6,Civil Procedure,MEE Question Bank (my import),3,3,"1,2,3",3429,OK,,,YES_EXACT_POINTS
587,July 2010,7,Civil Procedure,MEE Question Bank (my import),3,3,"1,2,3",4142,OK,,,YES_EXACT_POINTS
588,February 2011,8,Civil Procedure,MEE Question Bank (my import),3,6,"1,2,3,3,1,1",6214,OK,,,YES_EXACT_POINTS
589,July 2011,5,Civil Procedure,MEE Question Bank (my import),2,4,"1,2,3,4",4917,OK,,,YES_EXACT_POINTS
590,February 2012,7,Civil Procedure,MEE Question Bank (my import),3,4,"1,2,1,3",6406,OK,,,YES_EXACT_POINTS
591,July 2012,7,Civil Procedure,MEE Question Bank (my import),1,2,"1,2",3529,OK,,,YES_EXACT_POINTS
592,February 2013,5,Civil Procedure,MEE Question Bank (my import),3,3,"1,2,3",5684,OK,,,YES_EXACT_POINTS
593,July 2013,1,Civil Procedure,MEE Question Bank (my import),2,6,"1,1,1,1,1,2",6436,OK,,,YES_EXACT_POINTS
594,February 2014,4,Civil Procedure,MEE Question Bank (my import),2,3,"1,2,2",3699,OK,,,YES_EXACT_POINTS
595,July 2014,4,Civil Procedure,MEE Question Bank (my import),2,3,"1,2,2",4220,OK,,,YES_EXACT_POINTS
596,February 2015,5,Civil Procedure,MEE Question Bank (my import),1,1,1,1471,OK,,,YES_EXACT_POINTS
597,July 2015,2,Civil Procedure,MEE Question Bank (my import),2,4,"1,1,2,2",6655,OK,,,YES_EXACT_POINTS
